date,location,total_vaccinations,people_fully_vaccinated,people_vaccinated,vaccine,source_url
2021-03-08,Romania,1861820,657741,1204079,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-09,Romania,1910020,663642,1246378,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-10,Romania,1961422,672685,1288737,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-11,Romania,2011333,682929,1328404,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-12,Romania,2060719,693548,1367171,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-13,Romania,2109441,704229,1405212,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-14,Romania,2152140,713206,1438934,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-15,Romania,2201716,722956,1478760,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-16,Romania,2261700,738641,1523059,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-17,Romania,2315981,751939,1564042,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-18,Romania,2367906,760753,1607153,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-19,Romania,2417767,767921,1649846,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-20,Romania,2468671,772647,1696024,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-21,Romania,2513088,775407,1737681,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-22,Romania,2560284,798729,1761555,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-23,Romania,2618346,826089,1792257,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-24,Romania,2677454,854400,1823054,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-25,Romania,2736340,883117,1853223,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-26,Romania,2791471,911862,1879609,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-27,Romania,2850018,943557,1906461,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-28,Romania,2904731,973670,1931061,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-29,Romania,2957189,1002464,1954725,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-30,Romania,3021607,1039638,1981969,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-31,Romania,3079868,1072985,2006883,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-01,Romania,3137483,1105375,2032108,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-02,Romania,3195452,1138301,2057151,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-03,Romania,3250877,1168837,2082040,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-04,Romania,3299212,1196714,2102498,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-05,Romania,3350582,1226982,2123600,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-06,Romania,3405531,1258049,2147482,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-07,Romania,3460870,1288487,2172383,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-08,Romania,3517693,1319863,2197830,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-09,Romania,3571982,1351608,2220374,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
